"","unit","playerCount","task","complexity","default_duration","stageId","data.playerIds","score","duration","efficiency"
"2154","3","6","Writing Story","High",5,"v9vqGW3Bj7RtjrJin","6Yv2R7chKqT6fJkhK,L3iJcZcEDt6ARAoso,Nmw8xrT4X9mSiBeuP,dcBqLuvjTr9g99yBs,sp36vCYL6f2LKLgsR,x74yJxBDmSFS6YzvT",100,5.01678333333333,19.933091257014
"2155","3","6","Writing Story","Medium",5,"rjPv4K7uwxEBhmr6q","6Yv2R7chKqT6fJkhK,L3iJcZcEDt6ARAoso,Nmw8xrT4X9mSiBeuP,dcBqLuvjTr9g99yBs,sp36vCYL6f2LKLgsR,x74yJxBDmSFS6YzvT",100,5.01455,19.9419688705866
"2156","3","6","Writing Story","Low",5,"PvFhbQv6hfnxL7kWT","6Yv2R7chKqT6fJkhK,L3iJcZcEDt6ARAoso,Nmw8xrT4X9mSiBeuP,dcBqLuvjTr9g99yBs,sp36vCYL6f2LKLgsR,x74yJxBDmSFS6YzvT",100,5.03421666666667,19.8640635914889
"2157","3","6","Moral Reasoning","Low",5,"MtAZdyiiqQAxFLCsk","6Yv2R7chKqT6fJkhK,L3iJcZcEDt6ARAoso,Nmw8xrT4X9mSiBeuP,dcBqLuvjTr9g99yBs,sp36vCYL6f2LKLgsR,x74yJxBDmSFS6YzvT",80,5.02571666666667,15.918127762873
"2158","3","6","Moral Reasoning","High",5,"KaYrXauwTjebGDm8x","6Yv2R7chKqT6fJkhK,L3iJcZcEDt6ARAoso,Nmw8xrT4X9mSiBeuP,dcBqLuvjTr9g99yBs,sp36vCYL6f2LKLgsR,x74yJxBDmSFS6YzvT",80,5.03066666666667,15.9024648820567
"2159","3","6","Moral Reasoning","Medium",5,"HgrKDDHM3ucBvHw3j","6Yv2R7chKqT6fJkhK,L3iJcZcEDt6ARAoso,Nmw8xrT4X9mSiBeuP,dcBqLuvjTr9g99yBs,sp36vCYL6f2LKLgsR,x74yJxBDmSFS6YzvT",50,5.04458333333333,9.91162137606343
"2160","3","6","Room Assignment","Medium",5,"DCWXP5BnZz2Zo9jrd","6Yv2R7chKqT6fJkhK,L3iJcZcEDt6ARAoso,Nmw8xrT4X9mSiBeuP,dcBqLuvjTr9g99yBs,sp36vCYL6f2LKLgsR,x74yJxBDmSFS6YzvT",95,3.9,24.3589743589744
"2161","3","6","Room Assignment","High",5,"dmn3BaX6p9nzZ8eqf","6Yv2R7chKqT6fJkhK,L3iJcZcEDt6ARAoso,Nmw8xrT4X9mSiBeuP,dcBqLuvjTr9g99yBs,sp36vCYL6f2LKLgsR,x74yJxBDmSFS6YzvT",73.1958762886598,4.13333333333333,17.7086797472564
"2162","3","6","Room Assignment","Low",5,"QSAvQdepSnmTr2HAk","6Yv2R7chKqT6fJkhK,L3iJcZcEDt6ARAoso,Nmw8xrT4X9mSiBeuP,dcBqLuvjTr9g99yBs,sp36vCYL6f2LKLgsR,x74yJxBDmSFS6YzvT",94,2.33333333333333,40.2857142857143
"2163","3","6","Wolf Goat Cabbage","Low",5,"AuGowFPAKCvPKEhmh","6Yv2R7chKqT6fJkhK,L3iJcZcEDt6ARAoso,Nmw8xrT4X9mSiBeuP,dcBqLuvjTr9g99yBs,sp36vCYL6f2LKLgsR,x74yJxBDmSFS6YzvT",78,5.024,15.5254777070064
"2164","3","6","Wolf Goat Cabbage","Medium",5,"ohPuWAsF9ANq6Bfuy","6Yv2R7chKqT6fJkhK,L3iJcZcEDt6ARAoso,Nmw8xrT4X9mSiBeuP,dcBqLuvjTr9g99yBs,sp36vCYL6f2LKLgsR,x74yJxBDmSFS6YzvT",100,5.01185,19.9527120723884
"2165","3","6","Wolf Goat Cabbage","High",5,"jE74iFqNdeLxQa7di","6Yv2R7chKqT6fJkhK,L3iJcZcEDt6ARAoso,Nmw8xrT4X9mSiBeuP,dcBqLuvjTr9g99yBs,sp36vCYL6f2LKLgsR,x74yJxBDmSFS6YzvT",100,5.01916666666667,19.9236260999502
